KNN,NB,DT,RF,Bagging,AdaBoost,GradientBoosting
1.628774642944336,1.5270118713378906,1.0343093872070312,1.3966922760009766,2.699033737182617,1.7367267608642578,1.5372676849365234
1.6640453338623047,1.5616798400878906,1.0577468872070312,1.4262332916259766,2.757253646850586,1.7760334014892578,1.5747432708740234
1.699087142944336,1.5886573791503906,1.0811843872070312,1.4557743072509766,2.8185482025146484,1.8153400421142578,1.6021175384521484
1.7167797088623047,1.6075782775878906,1.0929031372070312,1.4700183868408203,2.850454330444336,1.8349933624267578,1.6169300079345703
1.769399642944336,1.6579933166503906,1.1280593872070312,1.5127735137939453,2.941640853881836,1.8939533233642578,1.6758785247802734
1.7958812713623047,1.6783790588378906,1.1456375122070312,1.5354328155517578,2.987234115600586,1.9234333038330078,1.6582584381103516
1.808950424194336,1.6898536682128906,1.1544265747070312,1.5480213165283203,3.0100536346435547,1.9381732940673828,1.7109737396240234
1.835850715637207,1.716639518737793,1.1725149154663086,1.571028709411621,3.0564146041870117,1.968400001525879,1.729578971862793
1.870473861694336,1.7445411682128906,1.1954421997070312,1.5997638702392578,3.116415023803711,2.006959915161133,1.7703304290771484
1.9452953338623047,1.8122901916503906,1.2452468872070312,1.6625614166259766,3.2456188201904297,2.090486526489258,1.7916622161865234
2.024282455444336,1.8822364807128906,1.2979812622070312,1.7290287017822266,3.3823986053466797,2.178926467895508,1.9136409759521484
2.1166820526123047,1.9669532775878906,1.3595046997070312,1.8060474395751953,3.5419750213623047,2.282106399536133,1.9710025787353516
2.151723861694336,2.0028419494628906,1.3829421997070312,1.8340320587158203,3.6032238006591797,2.321413040161133,2.0350704193115234
2.1869945526123047,2.0354347229003906,1.4063796997070312,1.8640766143798828,3.661520004272461,2.360719680786133,2.0717220306396484
2.390665054321289,2.1572608947753906,1.4884109497070312,1.9689807891845703,3.8747920989990234,2.498292922973633,2.1830806732177734
2.4145336151123047,2.1825294494628906,1.5059890747070312,1.991159439086914,3.921895980834961,2.527772903442383,2.2145137786865234
2.440786361694336,2.2066993713378906,1.5235671997070312,2.0133609771728516,3.967489242553711,2.557252883911133,2.2359981536865234
2.4760570526123047,2.2449073791503906,1.5470046997070312,2.0429019927978516,4.028280258178711,2.596559524536133,2.2694759368896484
2.533071517944336,2.3049659729003906,1.5850906372070312,2.0909061431884766,4.12708854675293,2.660432815551758,2.3259944915771484
2.5595531463623047,2.3316001892089844,1.6026687622070312,2.1125354766845703,4.17268180847168,2.689912796020508,2.3604679107666016
2.572622299194336,2.3418540954589844,1.6114578247070312,2.1220569610595703,4.195478439331055,2.704652786254883,2.3636226654052734
2.5859203338623047,2.3543052673339844,1.6202468872070312,2.133638381958008,4.21827507019043,2.719392776489258,2.3960514068603516
2.598989486694336,2.3659019470214844,1.6290359497070312,2.1462268829345703,4.241071701049805,2.734132766723633,2.4056339263916016
2.6122875213623047,2.3783531188964844,1.6378250122070312,2.157327651977539,4.26386833190918,2.748872756958008,2.401620864868164
2.783559799194336,2.5497398376464844,1.7520828247070312,2.3013858795166016,4.56068229675293,2.940492630004883,2.5088138580322266
2.7968578338623047,2.5590171813964844,1.7608718872070312,2.3124637603759766,4.580984115600586,2.955232620239258,2.519002914428711
2.836294174194336,2.5958824157714844,1.7872390747070312,2.3456974029541016,4.649877548217773,2.999452590942383,2.566610336303711
2.8759593963623047,2.6322593688964844,1.8136062622070312,2.3784046173095703,4.719778060913086,3.043672561645508,2.5987606048583984
2.902212142944336,2.6538658142089844,1.8311843872070312,2.3990039825439453,4.765371322631836,3.073152542114258,2.6077213287353516
2.9286937713623047,2.6765708923339844,1.8487625122070312,2.421663284301758,4.810964584350586,3.102632522583008,2.6497249603271484
2.941762924194336,2.6874608993530273,1.8575515747070312,2.4342517852783203,4.833784103393555,3.117372512817383,2.6604061126708984
2.9770336151123047,2.7228126525878906,1.8809890747070312,2.463815689086914,4.894575119018555,3.156679153442383,2.6994686126708984
3.029653549194336,2.7726402282714844,1.9161453247070312,2.5081729888916016,4.985761642456055,3.215639114379883,2.7897586822509766
3.2055492401123047,2.9618492126464844,2.0333328247070312,2.6558780670166016,5.289716720581055,3.412172317504883,2.931863784790039
3.262563705444336,3.0156822204589844,2.0714187622070312,2.7038822174072266,5.38850212097168,3.476045608520508,2.983327865600586
3.2978343963623047,3.0498619079589844,2.0948562622070312,2.7328968048095703,5.44929313659668,3.515352249145508,2.9683895111083984
3.346059799194336,3.0941734313964844,2.1270828247070312,2.7719593048095703,5.53333854675293,3.569398880004883,3.0141658782958984
3.3901195526123047,3.1415367126464844,2.1563796997070312,2.809389114379883,5.606832504272461,3.618532180786133,3.0913448333740234
3.416372299194336,3.1652183532714844,2.1739578247070312,2.8330554962158203,5.652929306030273,3.648012161254883,3.163492202758789
3.4428539276123047,3.1941490173339844,2.1915359497070312,2.855234146118164,5.700033187866211,3.677492141723633,3.1925182342529297
3.473501205444336,3.2201499938964844,2.2120437622070312,2.8811283111572266,5.753225326538086,3.711885452270508,3.1435794830322266
3.5043773651123047,3.2515220642089844,2.2325515747070312,2.9069766998291016,5.806417465209961,3.746278762817383,3.251718521118164
3.548208236694336,3.2991294860839844,2.2618484497070312,2.9439029693603516,5.882406234741211,3.795412063598633,3.283975601196289
3.5615062713623047,3.3093833923339844,2.2706375122070312,2.9544544219970703,5.905202865600586,3.810152053833008,3.2869205474853516
3.587759017944336,3.3346519470214844,2.2882156372070312,2.9750537872314453,5.950796127319336,3.839632034301758,3.3120288848876953
3.6274242401123047,3.3724937438964844,2.3145828247070312,3.008790969848633,6.019208908081055,3.883852005004883,3.3512935638427734
3.671255111694336,3.4146080017089844,2.3438796997070312,3.0472278594970703,6.09492301940918,3.932985305786133,3.354421615600586
3.7021312713623047,3.4409751892089844,2.3643875122070312,3.073099136352539,6.148115158081055,3.967378616333008,3.355508804321289
3.723989486694336,3.4622154235839844,2.3790359497070312,3.0916080474853516,6.18610954284668,3.991945266723633,3.3755550384521484
3.7416820526123047,3.4802818298339844,2.3907546997070312,3.1063785552978516,6.21650505065918,4.011598587036133,3.471529006958008
